Кот в сапогах 2: Последнее желание; Жанр: мультфильм, комедия, приключения Реж.: Джоэль Кроуфорд, Хануэль Меркадо. В ролях: Сальма Хайек, Антонио Бандерас, Оливия Колман, Флоренс Пью, Самсон Каё. Продолжительность: 102 мин. ;569
Чебурашка; Жанр:  семейный, комедия Реж.: Дмитрий Дьяченко. В ролях: Сергей Гармаш, Ольга Кузьмина, Полина Максимова, Фёдор Добронравов, Сергей Лавыгин, Елена Яковлева, Дмитрий Лысенков, Софья Зайка, Илья Кондратенко, Ева Смирнова. Продолжительность: 90 мин. ;2264
Человек-муравей и Оса: Квантомания; Жанр:  фантастика, боевик, триллер, комедия, детектив, приключения Реж.: Пейтон Рид. В ролях: Эванджелин Лилли, Пол Радд, Джонатан Мэйджерс, Мишель Пфайффер, Билл Мюррей, Майкл Дуглас, Кэтрин Ньютон. Продолжительность: 125 мин. ;240
Тень Караваджо; Жанр: драма, история Реж.: Микеле Плачидо. В ролях: Риккардо Скамарчо, Микаэла Рамаццотти, Изабель Юппер, Луи Гаррель, Микеле Плачидо. Продолжительность: 120 мин. ;28
Нюрнберг; Жанр: история, драма, военный, триллер Реж.: Николай Лебедев. В ролях: Сергей Кемпо, Любовь Аксенова, Сергей Безруков, Евгений Миронов, Алексей Бардуков, Игорь Петренко, Вольфганг Черни, Шарлотта Харвуд, Лаура Бах, Клаус Шиндлер. Продолжительность: 131 мин. ;303
Моя фея-проказница; Жанр:  мультфильм, фэнтези, комедия, приключения, семейный Реж.:  Каролин Оригер. В ролях: Йелла Хаазе, Лиза-Мари Королл, Алекс Авенелл, Юлиан Мау, Джон Чедвик. Продолжительность: 80 мин. ;21
МУЛЬТ в кино. Выпуск №154. Прощай, зима! Привет, мультипление!; Жанр: мультфильм, фэнтези, приключения, семейный Реж.: Владимир Ли , Екатерина Полякова , Роман Сафаров , Евгения Щербакова , Татьяна Новикова , Ольга Громова , Ольга Алфёрова , Татьяна Алифанова , Артур Аллаяров , Ольга Алифонова , Станислав Шахов. ;8
Спина к спине. Сказочные истории. Сборник 1; Жанр: мультфильм, фэнтези, приключения, семейный Реж.: А. Крылов, Е. Тертышная, А. Леонович. Продолжительность: 60 мин. ;8
Странный дом; Жанр:  триллер, фантастика Реж.:  Макс Максимов. В ролях: Владимир Яглыч, Ирина Кобзева, Станислав Бондаренко, Ирина Безряднова, Оксана Лесная. Продолжительность: 80 мин. ;4
Bayreuther Festspiele: Лоэнгрин;" Жанр: фильм-спектакль, опера Реж.: Юваль Шарон; Дирижер: Кристиан Тилеманн. В ролях: Аня Хартерос, Пётр Бечала, Вальтрауд Мaйер, Георг Цеппенфельд, Томаш Конечны, Эгилс Силиньш. Продолжительность: 229 мин. ";2
