Матушка Готель. История старой ведьмы;Серена Валентино;492
Особняк с привидениями. Том III. Зловещие призраки;Джон Эспозито;106
Рецепт кошмарного сна;Елена Усачева;325
Особняк с привидениями. Том IV. Последний путь;Джон Эспозито;106
Школа Жуткинса. Сэм против машины!;Джек Чеберт;346
Жуть вампирская;Алексей Лисаченко;325
Чудовище доктора Франкенштейна;Мартин Видмарк;249
Как победить вампира;Мартин Видмарк;249
Темный единорог;Элис Хэмминг;280
Дети страха и другие ужасные истории;Елена Усачева;474
Тихие гости;Татьяна Мастрюкова;599
Гадский гаджет;Антон Березин;325
Дана Мэллори и дом оживших теней;Клаудия Ромес;432
Исполнить твое желание?;Вера Стрэндж;252
Дом монстров. Тот, кто обращает в камень;Зана Фрайон;325
Тот, кто крадется во тьме;Зана Фрайон;235
Встреча с оборотнями;Мартин Видмарк;249
Школа ужасов;Григорий Остер;346
Мертвые голоса;Кэтрин Арден;474
По следам Франкенштейна и другие ужасные истории;Софья Прокофьева;474
Повелитель теней;Вера Стрэндж;317
Оборотень из болот;Роберт Стайн;325
Как перехитрить черных магов;Мартин Видмарк;249
Тот, кто ждет в глубине;Зана Фрайон;235
Полозовка;Наталья Энте;1149
Ты - в игре! и другие ужасные истории;Алла Озорнина;492
Кошмары 21-й школы;Галина Гордиенко;317
Призрак Ивана Грозного;Елена Усачева;317
Проклятие пиратского крюка;Вера Стрэндж;317
Та, что приходит ночью;Дельфина Бертолон;450
Страшные сказки дядюшки Монтегю;Крис Пристли;1037
Школа ужасов и другие ужасные истории;Григорий Остер;492
Отдай свое сердце!;Валерий Роньшин;325
Поткин и Штуббс. Дело о Последнем Призраке;Софи Грин;292
Зона ужаса;К. Александр;388
Скелет в шкафу и другие ужасные истории;Антон Березин;492
Четырехпалый человек;Цербер Джонс;313
Собирательница;К. Александр;317
Эвкалиптовый пришелец;Цербер Джонс;109
Берегись своих желаний;Роберт Стайн;325
"Магазин ""Белые тапочки""";Елена Нестерина;317
Круэлла де Виль. История злодейки с разбитым сердцем;Серена Валентино;492
Секрет дома с привидениями;Бетти Райт;534
Маленькая злая книга. Специальное издание. Читай с друзьями!;Магнус Мист;492
Темногорье;Лада Кутузова;
Большая книга ужасов 76;Елена Усачева;
Тайна дома с часами;Джон Беллэрс;
Охота за Темной Бесконечностью;Джеймс Дэшнер;
Маленький вампир переезжает. Книга 2 : сказочная повесть;Ангела Зоммер-Боденбург;
Мортина и нежданный гость : страшно захватывающая история;;
Веселые Роджерсы и Корабль-Призрак;Джонни Дудл;
Школа Жуткинса. Опасное дежурство;Джек Чеберт;
Добро пожаловать в мертвый дом;Роберт Стайн;
Шкафчик съел Люси!;Джек Чеберт;
Бука;Туутикки Толонен;
Болотница;Татьяна Мастрюкова;
Не подходите к подвалу;Роберт Стайн;
Арло Финч. Долина Огня;Джон Огаст;
Школа Жуткинса. Джунгли на перемене!;Джек Чеберт;
Арло Финч. Озеро Луны;Джон Огаст;
Призрак в зеркале;Джон Беллэрс, Брэд Стрикланд;
Проклятие египетской гробницы;Роберт Стайн;
Бука. Под землей;Туутикки Толонен;
Ночные кошмары;Кирстен Миллер, Джейсон Сигел;
Игра в невидимку;Роберт Стайн;
Мортина. Магия Озера Тайн. Кошмарно интересная история;;
Школа Жуткинса. Кошмар на научной ярмарке!;Джек Чеберт;
Школа Жуткинса. Морозный ужас!;Джек Чеберт;
Ночные кошмары! Средство от бессонницы;Кирстен Миллер, Джейсон Сигел;
Темный дар;Джерри Алан Уайт;
Амелия Клык и похититель памяти;Лора Эллен Андерсон;
Особняк с привидениями. Том 1. Кошмарный Квартет;Джон Эспозито;
"Девчонка, что кричала ""Монстры!""";Роберт Стайн;
Призрак по соседству;Роберт Стайн;
Оборотный Час;Дамарис Янг;
Полночный единорог;Элис Хэмминг;
Арло Финч. Королевство теней;Джон Огаст;
Лето кошмаров;Роберт Стайн;
Маска одержимости;Роберт Стайн;
Лесной хозяин;Р. Тоалсон;
Смертельный урок музыки;Роберт Стайн;
Бука. Нежданные гости;Туутикки Толонен;
Тот, кто летит по пятам;Зана Фрайон;
Магазин с привидением;Мартин Видмарк;
Призрак старого замка;Мартин Видмарк;
Мортина. Все-все-все страшно захватывающие истории;;
Подарок призрака;Вера Стрэндж;
Никто из Ниоткуда;Цербер Джонс;
Сад костей;Хизер Касснер;
Младшие боги;Лада Кутузова;
Костяное царство;Лада Кутузова;
Макабр. Весь цикл в одном томе: Игра в сумерках. Путешествие в полночь. Война на восходе;Мила Нокс;
Страшные истории для маленьких лисят;Кристиан Маккей Хайдикер;
Мёртвая свадьба;Елена Усачева;
Мортина. Загадка старинной шкатулки. Жутко любопытная история;Барбара Кантини;
Один день в парке ужасов;Роберт Стайн;
Ящик с проклятием;Мэри Стюарт;
Дом одинокой ведьмы (#2);Фил Хикс;474
Винсент учится исчезать (выпуск 2);Соня Кайблингер;534
Поткин и Штуббс. Тайна мальчика-привидения (новое оформление);Софи Грин;474
